STATE/UT,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL,mean accidents,STATE_TOTAL,jan_mar,apr_june,jul_sep,oct_dec,
Tamil Nadu,2010,5498,5199,5727,5663,6027,5393,5221,5367,5349,5426,5179,4947,64996,9428.714286,,16424,17083,15937,15552,
Tamil Nadu,2011,5522,5228,5821,5461,6018,5879,5706,5162,5688,5107,4937,5344,65873,9554.071429,,16571,17358,16556,15388,
Tamil Nadu,2012,5868,5646,5813,5819,5896,5646,5688,5815,5283,5444,5367,5472,67757,9823.285714,,17327,17361,16786,16283,
Tamil Nadu,2013,5881,5337,5741,5599,5914,5593,5311,5470,5597,5313,5268,5214,66238,9606.357143,,16959,17106,16378,15795,
Tamil Nadu,2014,5658,5293,5824,5303,5711,5915,5719,5936,5777,5516,5036,5562,67250,9751,,16775,16929,17432,16114,
Tripura,2001,53,52,63,44,36,55,50,37,36,41,35,42,544,220.6428571,10534,168,135,123,118,
Tripura,2002,47,38,56,44,60,54,65,51,54,42,59,54,624,232.1428571,,141,158,170,155,
Tripura,2003,73,51,51,45,57,52,61,51,60,64,61,50,676,239.6428571,,175,154,172,175,
Tripura,2004,49,42,57,44,56,58,54,53,39,63,66,64,645,235.2857143,,148,158,146,193,
Tripura,2005,57,55,53,42,54,65,52,54,59,61,48,62,662,237.7857143,,165,161,165,171,
Tripura,2006,70,50,62,67,74,52,69,55,68,73,80,73,793,256.5714286,,182,193,192,226,
Tripura,2007,59,85,70,66,69,67,51,58,71,60,58,87,801,257.7857143,,214,202,180,205,
Tripura,2008,51,56,66,70,72,55,64,74,78,65,57,59,767,253,,173,197,216,181,
Tripura,2009,68,93,78,61,77,63,55,76,65,63,72,94,865,267.0714286,,239,201,196,229,
Tripura,2010,76,66,81,77,65,68,72,77,86,72,83,78,901,272.2857143,,223,210,235,233,
Tripura,2011,85,57,81,64,55,67,54,72,50,78,79,92,834,262.7857143,,223,186,176,249,
Tripura,2012,83,85,69,72,82,66,65,70,75,76,64,81,888,270.5714286,,237,220,210,221,
Tripura,2013,66,50,63,72,64,70,69,61,68,76,81,78,818,260.6428571,,179,206,198,235,
Tripura,2014,65,74,81,63,72,46,64,53,54,60,38,46,716,246.1428571,,220,181,171,144,
Uttar Pradesh,2001,1695,1737,1652,1663,1733,1027,1310,1478,1626,1439,1231,1330,17921,2703.071429,274528,5084,4423,4414,4000,
Uttar Pradesh,2002,1237,1164,1270,1194,1349,1363,1169,1113,1099,1100,1233,1166,14457,2208.285714,,3671,3906,3381,3499,
Uttar Pradesh,2003,1049,955,911,868,996,908,873,815,794,938,1065,1182,11354,1765.071429,,2915,2772,2482,3185,
Uttar Pradesh,2004,1309,1309,1285,1004,1174,1062,1093,1227,1164,1201,1198,1348,14374,2196.571429,,3903,3240,3484,3747,
Uttar Pradesh,2005,1266,1220,1334,1114,1422,1302,1182,1251,1080,1107,1153,1258,14689,2241.642857,,3820,3838,3513,3518,
Uttar Pradesh,2006,1608,1605,1389,1160,1280,1343,1201,1252,1226,1204,1227,1712,16207,2458.571429,,4602,3783,3679,4143,
Uttar Pradesh,2007,1647,1570,1568,1495,1511,1461,1443,1392,1394,1393,1514,1643,18031,2719.214286,,4785,4467,4229,4550,
Uttar Pradesh,2008,1799,1624,1664,1555,1478,1483,1528,1411,1489,1569,1631,1833,19064,2866.857143,,5087,4516,4428,5033,
Uttar Pradesh,2009,2010,1758,1834,1802,1912,1747,1683,1754,1694,1791,2071,1929,21985,3284.214286,,5602,5461,5131,5791,
Uttar Pradesh,2010,2213,2123,2284,2060,2171,2320,2022,1914,1862,1929,2131,2387,25416,3774.428571,,6620,6551,5798,6447,
Uttar Pradesh,2011,2045,2088,2145,1905,2178,2189,1842,1948,1879,1909,2150,2235,24513,3645.5,,6278,6272,5669,6294,
Uttar Pradesh,2012,2101,2030,2100,2066,2380,2167,2037,1759,1670,1803,2055,2310,24478,3640.571429,,6231,6613,5466,6168,
Uttar Pradesh,2013,2290,2150,2235,2225,2554,2227,2035,1951,1871,1922,2149,2366,25975,3854.5,,6675,7006,5857,6437,
Uttar Pradesh,2014,2550,2311,2217,2067,2265,2209,2086,2017,1824,2023,2170,2325,26064,3867.285714,,7078,6541,5927,6518,
Uttarakhand,2001,78,88,83,74,94,84,86,81,82,74,84,95,1003,286.2142857,18192,249,252,249,253,
Uttarakhand,2002,87,76,79,106,111,121,85,97,68,94,96,97,1117,302.5714286,,242,338,250,287,
Uttarakhand,2003,80,87,78,91,120,106,113,106,84,105,106,110,1186,312.5,,245,317,303,321,
Uttarakhand,2004,113,99,103,97,115,122,110,81,81,105,114,112,1252,322,,315,334,272,331,1337.868111
Uttarakhand,2005,120,94,96,89,129,141,106,93,112,99,124,129,1332,333.5,,310,359,311,352,
Uttarakhand,2006,108,118,149,124,100,116,124,115,110,135,116,146,1461,352,,375,340,349,397,
Uttarakhand,2007,133,116,124,134,148,136,119,118,131,104,116,143,1522,360.7857143,,373,418,368,363,
Uttarakhand,2008,138,126,138,119,133,125,143,73,81,108,116,109,1409,344.7142857,,402,377,297,333,
Uttarakhand,2009,99,112,101,134,115,137,124,101,91,99,133,137,1383,341.0714286,,312,386,316,369,
Uttarakhand,2010,86,108,128,127,125,145,148,128,95,129,136,124,1479,354.8571429,,322,397,371,389,
Uttarakhand,2011,114,118,119,124,135,133,112,100,115,125,149,151,1495,357.2142857,,351,392,327,425,
Uttarakhand,2012,112,152,122,137,127,138,108,123,82,118,125,111,1455,351.5714286,,386,402,313,354,
Uttarakhand,2013,84,91,118,102,167,120,94,81,104,112,97,127,1297,329.0714286,,293,389,279,336,
Uttarakhand,2014,58,43,65,64,77,62,61,72,69,83,76,71,801,258.2857143,,166,203,202,230,
West Bengal,2001,897,908,948,1039,952,972,915,990,953,823,935,1098,11430,1775.785714,189375,2753,2963,2858,2856,
West Bengal,2002,894,932,942,1041,911,854,915,919,922,961,940,1006,11237,1748.285714,,2768,2806,2756,2907,
West Bengal,2003,916,930,1084,975,909,980,1054,934,945,823,842,983,11375,1768.071429,,2930,2864,2933,2648,
West Bengal,2004,1044,1001,1197,1085,1086,1043,964,900,869,977,898,1088,12152,1879.142857,,3242,3214,2733,2963,
West Bengal,2005,1036,1061,1084,1035,1096,1049,998,926,887,975,979,1055,12181,1883.357143,,3181,3180,2811,3009,
West Bengal,2006,1112,1093,1187,1053,1124,1153,1011,1105,1009,1026,1081,1131,13085,2012.571429,,3392,3330,3125,3238,
West Bengal,2007,1134,1051,1275,1240,1157,1269,1176,1050,1165,1133,1068,1236,13954,2136.785714,,3460,3666,3391,3437,
West Bengal,2008,974,919,1097,1013,1069,1000,875,924,908,941,880,947,11547,1793,,2990,3082,2707,2768,
West Bengal,2009,1231,1150,1183,1101,1158,1180,1162,1104,1171,1161,1176,1182,13959,2137.642857,,3564,3439,3437,3519,
West Bengal,2010,1245,1150,1349,1246,1172,1284,1231,1190,1128,1227,1251,1252,14725,2247.142857,,3744,3702,3549,3730,
West Bengal,2011,1350,1179,1314,1148,1220,1241,1185,1074,1112,1214,1161,1270,14468,2210.5,,3843,3609,3371,3645,
West Bengal,2012,1346,1383,1357,1270,1352,1434,1349,1204,1112,1251,1179,1371,15608,2373.428571,,4086,4056,3665,3801,
West Bengal,2013,1564,1382,1474,1392,1629,1391,1315,1208,1228,1299,1335,1332,16549,2507.928571,,4420,4412,3751,3966,
West Bengal,2014,1516,1398,1473,1385,1527,1439,1416,1356,1391,1395,1415,1394,17105,2587.428571,,4387,4351,4163,4204,
,,,,,,,,,,,,,,,,,,,,,
TOTAL,,482719,459272,486141,479663,521563,473574,440263,438351,435302,454961,457192,473905,,,,,,,,
,,476044,,,491600,,,437972,,,462019.3333,,,,,,,,,,
